Canton,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Zurich,3.3,27225.00,34156.00,6931.00
Berne,2.4,13658.00,18385.00,4727.00
Lucerne,1.7,3885.00,6756.00,2871.00
Uri,0.6,112.00,257.00,145.00
Schwyz,1.7,1455.00,2229.00,774.00
Obwald,0.7,153.00,319.00,166.00
Nidwald,1,248.00,436.00,188.00
Glaris,1.8,416.00,713.00,297.00
Zoug,2.3,1543.00,2615.00,1072.00
Fribourg,2.7,4466.00,7837.00,3371.00
Soleure,2.6,3801.00,6628.00,2827.00
Bâle-Ville,3.5,3455.00,5168.00,1713.00
Bâle-Campagne,2.8,4082.00,5540.00,1458.00
Schaffhouse,3,1286.00,2328.00,1042.00
Appenzell Rhodes-Extérieures,1.7,523.00,866.00,343.00
Appenzell Rhodes-Intérieures,0.7,62.00,102.00,40.00
St-Gall,2.2,6127.00,10363.00,4236.00
Grisons,1.1,1166.00,2590.00,1424.00
Argovie,2.9,10684.00,15145.00,4461.00
Thurgovie,2,3058.00,5618.00,2560.00
Tessin,3.1,5202.00,8675.00,3473.00
Vaud,4.3,17155.00,24649.00,7494.00
Valais,2.8,4816.00,8027.00,3211.00
Neuchâtel,5.1,4738.00,6350.00,1612.00
Genève,5.2,12234.00,15497.00,3263.00
Jura,4.4,1619.00,2375.00,756.00
